dataset,seed,technique,compression_ratio,mse_reconstruction,acf_retention,vocabulary_entropy,bigram_entropy,token_persistence,top_k_coverage
Electricity,42,text_based,0.0952084242008848,4.2033636753858946e-05,0.9999999908347724,,,,
Electricity,42,patching,16.0,6.313440032906265e-16,0.9999999999999973,,,,
Electricity,42,decomposition,9168.0,5.3174454704097035e-34,1.0,,,,
Electricity,42,foundation,16.0,0.30037098265710827,0.9980247725524892,,,,
Electricity,42,hmm,1.0,0.15770404788323594,0.9994689249625046,0.9969076621806823,0.6887674654618476,7.736708860759494,1.0
Electricity,2021,discretization,1.0,0.16480159312100784,0.9997075573926549,0.9880996073819297,0.8000517408871388,1.9284812789230121,0.712805410122164
Electricity,2021,text_based,0.0952084242008848,4.2033636753858946e-05,0.9999999908347724,,,,
Electricity,2021,patching,16.0,6.313440032906265e-16,0.9999999999999973,,,,
Electricity,2021,decomposition,9168.0,5.3174454704097035e-34,1.0,,,,
Electricity,2021,foundation,16.0,0.2945128234908103,0.9978178299980515,,,,
Electricity,2021,hmm,1.0,0.15780588188069627,0.9994748110258764,0.9968774291941216,0.6886352508742617,7.743243243243243,1.0
Electricity,7,discretization,1.0,0.16480159312100784,0.9997075573926549,0.9880996073819297,0.8000517408871388,1.9284812789230121,0.712805410122164
Electricity,7,text_based,0.0952084242008848,4.2033636753858946e-05,0.9999999908347724,,,,
Electricity,7,patching,16.0,6.313440032906265e-16,0.9999999999999973,,,,
Electricity,7,decomposition,9168.0,5.3174454704097035e-34,1.0,,,,
Electricity,7,foundation,16.0,0.303041645250517,0.9982544776988896,,,,
Electricity,7,hmm,1.0,0.15770404357450443,0.9994688947433854,0.9969076621806823,0.6887674654618476,7.736708860759494,1.0
